crop,disease,severity,treatment_cost_usd,temperature,humidity,rainfall_last_week_mm,leaf_color_r,leaf_color_g,leaf_color_b,leaf_texture_variance,spot_density,affected_area_pct,detection_confidence,image_id,detected_date
Grape,Downy_Mildew,2,120,21.29,82.07,32.02,191,129,87,0.29,0.357,7.73,0.779,img_02360.jpg,2025-05-08
Tomato,Healthy,0,0,27.89,40.9,16.55,92,175,82,0.805,0.0,0.0,0.96,img_02361.jpg,2025-08-23
Potato,Mosaic_Virus,5,250,36.97,82.27,9.41,63,147,57,0.388,0.246,25.48,0.943,img_02362.jpg,2025-12-14
Pepper,Root_Rot,4,220,30.46,84.31,4.13,101,121,31,0.72,0.677,50.33,0.743,img_02363.jpg,2025-03-23
Rice,Root_Rot,4,220,22.12,86.66,3.04,101,106,42,0.505,0.331,69.01,0.845,img_02364.jpg,2025-03-29
Rice,Bacterial_Spot,3,180,13.27,72.77,1.75,188,129,70,0.782,0.455,46.09,0.889,img_02365.jpg,2025-11-02
Wheat,Root_Rot,4,220,25.98,81.94,16.1,69,133,66,0.335,0.313,74.09,0.813,img_02366.jpg,2025-11-27
Tomato,Anthracnose,3,160,12.98,71.87,16.74,161,83,80,0.669,0.312,67.9,0.979,img_02367.jpg,2025-08-15
Potato,Root_Rot,4,220,43.86,90.25,29.87,100,40,68,0.642,0.438,49.47,0.825,img_02368.jpg,2025-10-12
Apple,Root_Rot,4,220,26.54,74.51,44.11,154,144,22,0.28,0.61,60.18,0.743,img_02369.jpg,2025-11-13
Rice,Bacterial_Spot,3,180,27.84,69.68,30.18,63,135,81,0.792,0.312,79.34,0.984,img_02370.jpg,2025-11-21
Tomato,Healthy,0,0,17.24,85.52,60.77,133,154,75,0.654,0.0,0.0,0.951,img_02371.jpg,2025-09-23
Potato,Powdery_Mildew,2,100,20.87,74.57,1.23,190,134,25,0.202,0.212,66.83,0.816,img_02372.jpg,2025-03-06
Grape,Downy_Mildew,2,120,22.21,67.07,50.18,102,78,26,0.156,0.295,57.53,0.809,img_02373.jpg,2025-07-08
Pepper,Bacterial_Spot,3,180,23.51,65.98,8.64,164,130,37,0.593,0.221,69.66,0.783,img_02374.jpg,2025-12-30
Corn,Mosaic_Virus,5,250,18.67,72.92,49.98,104,61,92,0.159,0.555,67.9,0.906,img_02375.jpg,2026-01-25
Apple,Rust,4,200,28.96,85.13,37.29,130,143,25,0.366,0.46,65.07,0.747,img_02376.jpg,2026-01-08
Potato,Fusarium_Wilt,5,280,23.89,89.51,25.02,171,90,23,0.436,0.545,68.27,0.79,img_02377.jpg,2025-05-03
Apple,Downy_Mildew,2,120,19.92,82.55,4.48,156,78,40,0.735,0.175,12.44,0.771,img_02378.jpg,2025-03-13
Apple,Healthy,0,0,25.89,78.1,14.07,57,211,30,0.299,0.0,0.0,0.863,img_02379.jpg,2025-07-25
Potato,Mosaic_Virus,5,250,35.42,87.2,5.75,91,125,75,0.126,0.455,61.56,0.978,img_02380.jpg,2025-10-22
Apple,Rust,4,200,29.53,72.15,9.49,179,135,22,0.173,0.175,47.7,0.92,img_02381.jpg,2025-05-15
Tomato,Mosaic_Virus,5,250,6.64,85.73,69.38,187,136,72,0.777,0.219,55.5,0.798,img_02382.jpg,2025-05-17
Rice,Leaf_Blight,3,150,15.76,67.96,26.53,177,65,79,0.179,0.173,38.84,0.851,img_02383.jpg,2025-11-15
Corn,Powdery_Mildew,2,100,22.69,92.9,75.7,141,122,48,0.428,0.277,24.18,0.975,img_02384.jpg,2025-02-21
Pepper,Fusarium_Wilt,5,280,38.11,68.77,6.07,77,77,73,0.237,0.39,13.82,0.816,img_02385.jpg,2025-07-18
Wheat,Root_Rot,4,220,22.28,78.06,46.7,111,81,34,0.815,0.662,62.05,0.859,img_02386.jpg,2025-11-16
Tomato,Anthracnose,3,160,32.76,83.22,35.56,163,77,36,0.308,0.405,43.41,0.763,img_02387.jpg,2025-09-30
Wheat,Powdery_Mildew,2,100,30.62,75.27,109.12,187,105,62,0.13,0.71,21.27,0.701,img_02388.jpg,2025-11-07
Potato,Downy_Mildew,2,120,19.8,70.02,51.33,97,127,41,0.69,0.267,67.48,0.796,img_02389.jpg,2026-02-19
Tomato,Root_Rot,4,220,25.4,85.13,1.2,187,59,79,0.112,0.206,52.5,0.734,img_02390.jpg,2025-06-06
Potato,Fusarium_Wilt,5,280,16.92,83.9,34.04,51,59,73,0.688,0.43,26.31,0.75,img_02391.jpg,2025-06-13
Tomato,Healthy,0,0,21.3,53.17,86.14,195,121,87,0.108,0.0,0.0,0.944,img_02392.jpg,2025-08-17
Corn,Powdery_Mildew,2,100,38.59,72.24,136.28,132,59,85,0.315,0.424,61.62,0.835,img_02393.jpg,2025-04-17
Rice,Leaf_Blight,3,150,18.64,68.15,24.07,169,43,80,0.442,0.659,29.94,0.779,img_02394.jpg,2025-08-25
Rice,Anthracnose,3,160,22.21,87.77,49.99,55,137,70,0.671,0.219,7.47,0.753,img_02395.jpg,2025-04-28
Apple,Root_Rot,4,220,21.01,85.13,30.76,149,59,60,0.273,0.36,51.84,0.74,img_02396.jpg,2025-04-09
Tomato,Fusarium_Wilt,5,280,23.79,62.32,8.33,174,71,65,0.895,0.469,31.48,0.762,img_02397.jpg,2025-09-02
Pepper,Powdery_Mildew,2,100,26.58,80.62,21.38,146,87,60,0.253,0.319,24.97,0.75,img_02398.jpg,2026-02-10
Apple,Powdery_Mildew,2,100,26.11,86.96,61.18,72,120,87,0.632,0.191,27.52,0.781,img_02399.jpg,2025-04-10
Grape,Fusarium_Wilt,5,280,29.34,74.02,58.72,135,46,77,0.599,0.168,73.2,0.752,img_02400.jpg,2026-01-02
Rice,Leaf_Blight,3,150,24.85,83.97,3.45,182,114,80,0.574,0.786,70.32,0.904,img_02401.jpg,2025-11-01
Wheat,Mosaic_Virus,5,250,23.94,66.93,10.46,150,142,54,0.341,0.592,64.11,0.839,img_02402.jpg,2026-01-28
Tomato,Bacterial_Spot,3,180,16.72,91.52,0.7,146,96,26,0.584,0.268,70.37,0.947,img_02403.jpg,2025-04-04
Pepper,Anthracnose,3,160,39.1,71.14,12.04,94,130,64,0.87,0.421,43.54,0.811,img_02404.jpg,2025-08-16
Wheat,Leaf_Blight,3,150,18.74,73.9,78.85,137,94,99,0.302,0.257,69.27,0.907,img_02405.jpg,2026-01-30
Potato,Root_Rot,4,220,36.22,77.32,14.22,185,97,92,0.818,0.196,67.93,0.742,img_02406.jpg,2026-02-14
Corn,Fusarium_Wilt,5,280,27.85,81.16,4.98,105,102,79,0.326,0.434,12.83,0.911,img_02407.jpg,2025-12-10
Grape,Leaf_Blight,3,150,20.6,61.56,47.02,160,74,64,0.741,0.162,34.78,0.802,img_02408.jpg,2025-05-14
Pepper,Fusarium_Wilt,5,280,24.37,70.13,3.41,118,84,91,0.876,0.104,47.68,0.862,img_02409.jpg,2025-09-25
Wheat,Mosaic_Virus,5,250,30.26,90.56,34.93,62,54,57,0.489,0.74,44.62,0.815,img_02410.jpg,2025-06-29
Rice,Leaf_Blight,3,150,12.56,73.16,95.3,135,147,31,0.486,0.404,56.14,0.935,img_02411.jpg,2025-07-06
Corn,Rust,4,200,24.17,66.33,24.84,173,104,85,0.764,0.591,72.17,0.91,img_02412.jpg,2026-01-28
Wheat,Bacterial_Spot,3,180,29.33,60.13,2.63,79,148,46,0.854,0.245,30.24,0.771,img_02413.jpg,2026-01-08
Corn,Fusarium_Wilt,5,280,36.25,62.6,11.79,155,118,59,0.613,0.245,54.51,0.982,img_02414.jpg,2025-07-07
Wheat,Bacterial_Spot,3,180,24.38,93.22,48.0,53,76,38,0.815,0.652,12.56,0.957,img_02415.jpg,2026-01-06
Grape,Powdery_Mildew,2,100,23.33,67.94,3.55,152,52,66,0.706,0.143,52.07,0.972,img_02416.jpg,2025-07-17
Apple,Root_Rot,4,220,22.91,67.94,26.42,77,148,97,0.392,0.345,5.01,0.792,img_02417.jpg,2025-07-31
Corn,Healthy,0,0,30.23,75.64,129.49,197,211,40,0.163,0.0,0.0,0.734,img_02418.jpg,2025-10-29
Grape,Rust,4,200,18.25,69.23,19.16,78,134,69,0.68,0.418,28.35,0.869,img_02419.jpg,2026-01-06
Apple,Root_Rot,4,220,22.77,93.21,4.7,134,44,39,0.395,0.642,27.17,0.813,img_02420.jpg,2025-08-30
Tomato,Downy_Mildew,2,120,26.78,60.12,72.9,178,117,73,0.353,0.575,78.97,0.702,img_02421.jpg,2025-07-20
Rice,Powdery_Mildew,2,100,41.23,81.74,3.5,181,50,77,0.47,0.737,67.74,0.701,img_02422.jpg,2025-07-02
Apple,Mosaic_Virus,5,250,29.87,73.03,65.62,179,102,97,0.664,0.55,32.25,0.718,img_02423.jpg,2025-08-30
Grape,Powdery_Mildew,2,100,23.19,77.32,13.0,94,140,34,0.364,0.769,13.28,0.861,img_02424.jpg,2025-07-01
Tomato,Powdery_Mildew,2,100,29.2,62.42,0.62,151,122,91,0.891,0.459,33.16,0.967,img_02425.jpg,2025-03-11
Grape,Rust,4,200,38.68,75.46,18.52,117,129,77,0.454,0.754,65.75,0.914,img_02426.jpg,2025-04-03
Tomato,Anthracnose,3,160,15.59,61.56,16.7,107,146,56,0.489,0.671,67.63,0.971,img_02427.jpg,2025-12-08
Apple,Anthracnose,3,160,21.94,71.72,9.48,73,50,69,0.257,0.729,69.5,0.824,img_02428.jpg,2025-12-24
Tomato,Healthy,0,0,14.32,53.24,10.05,114,131,26,0.154,0.0,0.0,0.969,img_02429.jpg,2025-08-21
Pepper,Root_Rot,4,220,30.38,63.22,13.62,56,62,20,0.411,0.749,68.28,0.932,img_02430.jpg,2026-01-29
Tomato,Root_Rot,4,220,29.56,70.71,5.43,106,84,69,0.709,0.448,41.39,0.798,img_02431.jpg,2025-09-09
Potato,Anthracnose,3,160,21.24,83.12,7.44,55,49,21,0.732,0.199,6.12,0.724,img_02432.jpg,2026-01-14
Potato,Powdery_Mildew,2,100,31.51,76.53,3.27,132,146,85,0.807,0.596,7.64,0.794,img_02433.jpg,2025-02-27
Potato,Downy_Mildew,2,120,32.53,94.1,44.08,94,87,83,0.36,0.381,63.88,0.969,img_02434.jpg,2025-08-07
Wheat,Anthracnose,3,160,22.39,68.5,10.76,184,69,65,0.855,0.16,62.97,0.714,img_02435.jpg,2025-11-19
Apple,Rust,4,200,30.08,67.23,56.72,84,65,28,0.329,0.354,6.85,0.916,img_02436.jpg,2025-11-15
Wheat,Fusarium_Wilt,5,280,2.04,78.12,68.07,140,89,80,0.482,0.217,56.39,0.713,img_02437.jpg,2025-02-28
Tomato,Rust,4,200,36.63,91.31,51.06,192,84,60,0.126,0.751,73.57,0.984,img_02438.jpg,2025-04-03
Rice,Mosaic_Virus,5,250,29.68,80.26,23.31,76,141,59,0.881,0.193,57.14,0.831,img_02439.jpg,2025-05-24
Apple,Bacterial_Spot,3,180,27.26,76.13,5.94,157,52,90,0.537,0.542,24.93,0.838,img_02440.jpg,2026-01-09
Apple,Root_Rot,4,220,16.05,71.1,8.99,99,40,64,0.499,0.55,53.48,0.984,img_02441.jpg,2025-06-22
Pepper,Healthy,0,0,27.3,93.66,16.22,117,142,76,0.542,0.0,0.0,0.776,img_02442.jpg,2025-04-28
Wheat,Bacterial_Spot,3,180,34.01,82.05,64.64,115,114,60,0.458,0.362,57.51,0.925,img_02443.jpg,2025-12-07
Wheat,Leaf_Blight,3,150,20.61,76.76,25.57,125,126,20,0.807,0.184,60.26,0.885,img_02444.jpg,2026-02-03
Rice,Powdery_Mildew,2,100,24.26,86.31,2.72,126,105,61,0.6,0.17,23.1,0.86,img_02445.jpg,2025-11-21
Rice,Root_Rot,4,220,28.54,87.08,111.92,83,93,33,0.452,0.623,28.99,0.73,img_02446.jpg,2025-07-23
Apple,Downy_Mildew,2,120,27.68,92.91,28.78,72,71,97,0.503,0.383,10.82,0.817,img_02447.jpg,2025-04-04
Potato,Mosaic_Virus,5,250,14.89,86.55,10.38,194,80,38,0.368,0.205,55.48,0.809,img_02448.jpg,2025-05-02
Corn,Healthy,0,0,23.26,92.49,67.53,62,132,76,0.333,0.0,0.0,0.819,img_02449.jpg,2026-02-02
Potato,Bacterial_Spot,3,180,24.58,61.67,7.97,97,97,61,0.276,0.794,75.19,0.977,img_02450.jpg,2025-03-22
Apple,Leaf_Blight,3,150,31.71,82.97,31.73,138,131,62,0.123,0.793,58.88,0.981,img_02451.jpg,2025-02-21
Tomato,Bacterial_Spot,3,180,27.05,62.26,2.01,101,100,59,0.718,0.268,77.65,0.777,img_02452.jpg,2025-09-11
Tomato,Leaf_Blight,3,150,20.64,64.28,22.61,71,83,56,0.159,0.533,66.16,0.702,img_02453.jpg,2025-04-15
Wheat,Rust,4,200,19.18,74.68,33.99,65,89,55,0.224,0.689,36.13,0.915,img_02454.jpg,2025-09-27
Apple,Root_Rot,4,220,17.03,79.91,4.75,115,50,52,0.614,0.63,17.43,0.891,img_02455.jpg,2025-10-16
Grape,Rust,4,200,31.51,80.24,23.4,68,135,20,0.788,0.12,48.7,0.846,img_02456.jpg,2025-11-08
Tomato,Rust,4,200,23.83,64.34,4.13,156,111,82,0.892,0.577,10.64,0.857,img_02457.jpg,2025-09-11
Apple,Anthracnose,3,160,17.59,86.61,45.95,191,76,61,0.572,0.396,40.04,0.914,img_02458.jpg,2025-02-26
Wheat,Bacterial_Spot,3,180,33.87,92.01,1.48,154,141,33,0.764,0.16,10.92,0.925,img_02459.jpg,2025-06-26
Tomato,Healthy,0,0,29.0,73.49,29.81,56,119,84,0.438,0.0,0.0,0.767,img_02460.jpg,2025-04-30
Rice,Downy_Mildew,2,120,13.63,67.23,6.17,175,118,48,0.609,0.316,16.34,0.828,img_02461.jpg,2025-12-20
Rice,Root_Rot,4,220,19.54,62.08,77.64,137,137,42,0.392,0.234,76.46,0.744,img_02462.jpg,2025-10-23
Pepper,Anthracnose,3,160,21.6,91.17,19.49,65,72,70,0.858,0.131,72.11,0.763,img_02463.jpg,2026-02-03
Potato,Powdery_Mildew,2,100,22.95,83.68,59.12,146,41,31,0.153,0.21,7.54,0.757,img_02464.jpg,2025-06-28
Rice,Healthy,0,0,21.1,51.68,2.83,173,127,43,0.726,0.0,0.0,0.985,img_02465.jpg,2025-07-09
Potato,Healthy,0,0,24.06,54.81,41.34,106,94,95,0.279,0.0,0.0,0.895,img_02466.jpg,2025-11-17
Corn,Mosaic_Virus,5,250,35.02,94.55,0.63,119,101,81,0.672,0.385,38.41,0.909,img_02467.jpg,2025-05-13
Wheat,Rust,4,200,35.29,78.86,88.05,180,84,78,0.718,0.535,41.07,0.982,img_02468.jpg,2025-04-04
Pepper,Fusarium_Wilt,5,280,23.49,69.77,4.37,173,109,91,0.873,0.576,20.14,0.719,img_02469.jpg,2026-01-03
Apple,Anthracnose,3,160,27.65,92.36,1.39,137,77,21,0.213,0.605,53.07,0.783,img_02470.jpg,2025-08-09
Potato,Downy_Mildew,2,120,-2.14,68.37,34.08,161,132,31,0.269,0.213,59.28,0.774,img_02471.jpg,2025-07-02
Pepper,Root_Rot,4,220,31.55,84.35,28.42,116,114,28,0.474,0.275,69.51,0.94,img_02472.jpg,2025-08-12
Apple,Healthy,0,0,39.13,87.27,52.42,82,214,31,0.253,0.0,0.0,0.745,img_02473.jpg,2025-04-16
Pepper,Leaf_Blight,3,150,24.2,94.77,15.63,87,139,40,0.112,0.406,22.45,0.95,img_02474.jpg,2025-10-21
Wheat,Fusarium_Wilt,5,280,37.08,61.14,154.13,98,99,28,0.533,0.404,19.12,0.907,img_02475.jpg,2026-02-04
Tomato,Leaf_Blight,3,150,23.12,82.15,39.02,91,148,37,0.113,0.264,47.82,0.848,img_02476.jpg,2025-03-05
Apple,Mosaic_Virus,5,250,21.63,93.29,0.94,119,52,28,0.8,0.502,31.42,0.748,img_02477.jpg,2025-04-24
Grape,Leaf_Blight,3,150,28.25,90.13,59.12,185,68,46,0.169,0.472,75.83,0.745,img_02478.jpg,2025-04-15
Wheat,Downy_Mildew,2,120,22.45,93.79,7.17,189,50,95,0.737,0.459,49.24,0.876,img_02479.jpg,2025-10-16
Pepper,Leaf_Blight,3,150,17.87,93.53,5.74,129,125,61,0.278,0.781,29.9,0.953,img_02480.jpg,2025-04-24
Grape,Rust,4,200,42.62,92.0,21.56,60,106,77,0.407,0.147,70.61,0.879,img_02481.jpg,2025-09-25
Tomato,Anthracnose,3,160,39.05,91.17,114.99,94,99,29,0.404,0.241,72.04,0.735,img_02482.jpg,2025-05-30
Rice,Fusarium_Wilt,5,280,30.66,65.91,7.25,102,50,96,0.211,0.514,40.44,0.905,img_02483.jpg,2025-09-19
Grape,Healthy,0,0,25.61,55.21,33.39,78,211,82,0.345,0.0,0.0,0.964,img_02484.jpg,2025-08-24
Apple,Bacterial_Spot,3,180,23.97,66.76,67.81,126,136,55,0.661,0.577,77.91,0.982,img_02485.jpg,2025-12-05
Wheat,Mosaic_Virus,5,250,41.97,79.55,7.69,70,81,40,0.118,0.151,58.36,0.704,img_02486.jpg,2025-08-15
Tomato,Anthracnose,3,160,22.91,65.48,2.46,60,41,29,0.602,0.419,42.97,0.854,img_02487.jpg,2025-03-17
Grape,Anthracnose,3,160,33.45,77.27,21.48,151,49,52,0.611,0.143,41.71,0.874,img_02488.jpg,2025-08-15
Rice,Healthy,0,0,21.38,85.01,39.67,94,104,43,0.538,0.0,0.0,0.732,img_02489.jpg,2025-08-03
Tomato,Powdery_Mildew,2,100,27.63,92.59,17.41,74,136,53,0.289,0.616,23.7,0.932,img_02490.jpg,2025-06-24
Apple,Downy_Mildew,2,120,35.63,83.41,136.44,189,60,93,0.75,0.593,42.71,0.725,img_02491.jpg,2025-07-17
Corn,Powdery_Mildew,2,100,29.74,75.21,99.59,81,51,43,0.262,0.325,25.54,0.771,img_02492.jpg,2025-07-04
Corn,Leaf_Blight,3,150,36.1,68.56,17.03,78,41,76,0.135,0.268,13.38,0.713,img_02493.jpg,2025-07-24
Corn,Healthy,0,0,35.9,45.48,3.36,198,154,96,0.168,0.0,0.0,0.961,img_02494.jpg,2025-04-02
Potato,Root_Rot,4,220,23.03,62.19,8.22,151,54,40,0.198,0.573,42.29,0.854,img_02495.jpg,2025-12-19
Grape,Downy_Mildew,2,120,28.86,68.88,5.52,101,87,26,0.337,0.335,12.71,0.774,img_02496.jpg,2025-06-02
Potato,Healthy,0,0,29.45,61.29,12.54,187,159,42,0.642,0.0,0.0,0.958,img_02497.jpg,2026-02-06
Wheat,Fusarium_Wilt,5,280,42.32,65.71,20.44,72,95,64,0.335,0.159,59.27,0.851,img_02498.jpg,2025-07-11
Potato,Healthy,0,0,10.66,55.75,42.09,107,158,42,0.778,0.0,0.0,0.862,img_02499.jpg,2025-04-24
Tomato,Bacterial_Spot,3,180,28.89,84.36,1.87,140,118,85,0.892,0.272,27.03,0.913,img_02500.jpg,2025-05-11
Pepper,Leaf_Blight,3,150,23.9,93.19,4.73,151,75,60,0.564,0.607,71.18,0.987,img_02501.jpg,2026-01-25
Wheat,Healthy,0,0,30.47,92.62,21.77,128,166,73,0.74,0.0,0.0,0.977,img_02502.jpg,2025-12-12
Grape,Anthracnose,3,160,38.26,73.41,6.53,121,148,47,0.217,0.703,26.19,0.833,img_02503.jpg,2025-03-15
Tomato,Powdery_Mildew,2,100,20.79,71.38,47.37,87,110,23,0.519,0.694,70.83,0.874,img_02504.jpg,2025-08-27
Pepper,Downy_Mildew,2,120,21.77,79.92,34.63,74,149,88,0.642,0.697,64.75,0.882,img_02505.jpg,2025-06-26
Pepper,Anthracnose,3,160,23.22,60.99,18.48,117,126,60,0.28,0.322,57.12,0.866,img_02506.jpg,2026-01-25
Rice,Leaf_Blight,3,150,36.7,83.54,19.48,133,126,54,0.396,0.478,51.24,0.774,img_02507.jpg,2025-03-13
Pepper,Fusarium_Wilt,5,280,25.21,89.28,4.18,67,143,48,0.884,0.354,76.36,0.903,img_02508.jpg,2025-12-13
Corn,Root_Rot,4,220,8.97,83.43,85.72,103,45,77,0.406,0.38,17.81,0.863,img_02509.jpg,2025-12-30
Apple,Leaf_Blight,3,150,18.19,60.53,52.34,121,84,34,0.741,0.652,6.04,0.721,img_02510.jpg,2025-07-16
Grape,Fusarium_Wilt,5,280,31.75,78.28,70.69,99,70,37,0.36,0.184,14.57,0.879,img_02511.jpg,2025-09-16
Tomato,Root_Rot,4,220,26.12,61.75,60.33,191,105,97,0.216,0.238,45.97,0.898,img_02512.jpg,2025-06-13
Wheat,Anthracnose,3,160,16.94,87.41,29.07,53,87,29,0.447,0.633,18.11,0.773,img_02513.jpg,2025-03-31
Apple,Mosaic_Virus,5,250,29.07,76.95,3.13,168,107,45,0.533,0.267,67.41,0.965,img_02514.jpg,2025-08-04
Potato,Fusarium_Wilt,5,280,31.4,71.49,17.25,107,89,49,0.181,0.251,37.42,0.983,img_02515.jpg,2025-04-22
Corn,Powdery_Mildew,2,100,28.28,77.89,85.39,90,60,39,0.219,0.603,40.18,0.794,img_02516.jpg,2026-02-01
Potato,Mosaic_Virus,5,250,26.51,84.39,3.23,168,134,82,0.204,0.319,8.31,0.88,img_02517.jpg,2025-11-07
Grape,Mosaic_Virus,5,250,32.22,68.72,25.54,187,82,80,0.607,0.109,76.26,0.886,img_02518.jpg,2025-10-20
Pepper,Fusarium_Wilt,5,280,18.22,71.08,31.25,63,68,30,0.129,0.283,26.05,0.792,img_02519.jpg,2025-09-28
Corn,Downy_Mildew,2,120,38.75,85.59,35.51,92,113,76,0.4,0.512,32.14,0.845,img_02520.jpg,2025-08-23
Tomato,Healthy,0,0,26.14,80.91,100.23,97,86,96,0.582,0.0,0.0,0.869,img_02521.jpg,2025-06-11
Potato,Mosaic_Virus,5,250,35.21,70.41,9.63,73,71,89,0.265,0.702,17.43,0.849,img_02522.jpg,2025-07-17
Rice,Anthracnose,3,160,34.86,85.31,21.94,127,64,80,0.783,0.169,17.64,0.753,img_02523.jpg,2025-05-27
Pepper,Root_Rot,4,220,22.5,60.83,3.67,187,41,51,0.574,0.217,49.16,0.759,img_02524.jpg,2025-11-15
Potato,Mosaic_Virus,5,250,38.31,88.96,61.71,178,50,24,0.32,0.74,34.11,0.985,img_02525.jpg,2025-05-13
Potato,Powdery_Mildew,2,100,17.16,87.59,32.84,157,124,83,0.485,0.3,57.86,0.939,img_02526.jpg,2025-06-14
Rice,Anthracnose,3,160,30.31,71.82,16.73,71,113,74,0.617,0.101,31.21,0.829,img_02527.jpg,2025-06-04
Rice,Anthracnose,3,160,34.67,71.15,71.66,183,44,26,0.233,0.379,58.58,0.823,img_02528.jpg,2025-06-09
Wheat,Anthracnose,3,160,13.03,69.28,13.9,97,88,61,0.181,0.183,38.34,0.904,img_02529.jpg,2025-08-12
Apple,Fusarium_Wilt,5,280,33.16,64.39,1.73,75,88,31,0.328,0.523,74.18,0.929,img_02530.jpg,2025-03-21
Rice,Downy_Mildew,2,120,30.53,62.93,17.29,187,141,60,0.754,0.483,12.55,0.833,img_02531.jpg,2025-11-01
Wheat,Downy_Mildew,2,120,20.95,92.59,21.09,94,111,99,0.746,0.4,42.4,0.807,img_02532.jpg,2025-08-13
Pepper,Root_Rot,4,220,27.38,63.03,138.31,97,58,66,0.536,0.642,62.28,0.846,img_02533.jpg,2025-12-18
Apple,Powdery_Mildew,2,100,25.92,67.63,21.08,70,97,59,0.896,0.609,44.95,0.864,img_02534.jpg,2025-12-07
Potato,Healthy,0,0,22.11,46.07,38.35,199,137,27,0.73,0.0,0.0,0.889,img_02535.jpg,2025-04-12
Tomato,Rust,4,200,18.24,94.66,37.84,173,133,45,0.2,0.783,48.77,0.871,img_02536.jpg,2025-02-28
Rice,Root_Rot,4,220,14.86,76.65,43.92,106,92,55,0.563,0.6,10.95,0.88,img_02537.jpg,2025-07-16
Potato,Fusarium_Wilt,5,280,17.71,65.94,9.4,123,114,63,0.597,0.783,30.35,0.878,img_02538.jpg,2025-12-05
Pepper,Root_Rot,4,220,22.51,85.92,82.51,196,53,95,0.679,0.764,79.27,0.878,img_02539.jpg,2025-12-24
Potato,Fusarium_Wilt,5,280,16.5,67.88,30.55,175,100,77,0.73,0.755,76.1,0.961,img_02540.jpg,2025-05-04
Wheat,Root_Rot,4,220,32.71,64.11,33.3,183,98,33,0.61,0.439,62.77,0.977,img_02541.jpg,2025-11-04
Wheat,Mosaic_Virus,5,250,15.22,76.39,23.01,163,65,30,0.338,0.63,67.92,0.951,img_02542.jpg,2025-03-09
Wheat,Healthy,0,0,17.75,48.06,10.96,121,117,57,0.124,0.0,0.0,0.792,img_02543.jpg,2025-04-04
Wheat,Leaf_Blight,3,150,31.51,86.83,26.96,107,131,60,0.735,0.121,37.6,0.876,img_02544.jpg,2025-05-11
Wheat,Anthracnose,3,160,32.26,85.33,46.73,122,92,34,0.231,0.13,38.2,0.888,img_02545.jpg,2026-01-30
Grape,Mosaic_Virus,5,250,35.42,78.44,24.74,148,48,89,0.757,0.502,60.97,0.754,img_02546.jpg,2025-05-24
Pepper,Powdery_Mildew,2,100,23.8,83.05,1.8,139,49,58,0.437,0.18,30.1,0.822,img_02547.jpg,2025-08-12
Wheat,Rust,4,200,19.73,68.08,7.45,149,106,87,0.71,0.264,68.79,0.802,img_02548.jpg,2025-09-04
Corn,Mosaic_Virus,5,250,29.54,93.36,11.68,91,45,79,0.188,0.102,22.71,0.753,img_02549.jpg,2025-07-18
Tomato,Powdery_Mildew,2,100,29.94,80.43,16.28,185,83,73,0.541,0.472,38.39,0.941,img_02550.jpg,2025-12-12
Rice,Fusarium_Wilt,5,280,33.71,90.1,51.51,164,139,39,0.284,0.674,46.72,0.829,img_02551.jpg,2025-05-14
Rice,Anthracnose,3,160,38.48,91.74,3.08,84,97,43,0.153,0.721,52.1,0.96,img_02552.jpg,2025-06-19
Potato,Downy_Mildew,2,120,29.41,86.69,0.06,96,106,27,0.322,0.77,59.88,0.765,img_02553.jpg,2025-12-23
Corn,Powdery_Mildew,2,100,39.18,60.26,1.58,65,113,55,0.418,0.346,76.99,0.987,img_02554.jpg,2025-07-28
Wheat,Fusarium_Wilt,5,280,30.84,78.07,21.68,55,148,25,0.76,0.484,64.34,0.981,img_02555.jpg,2025-09-24
Potato,Mosaic_Virus,5,250,22.66,74.94,7.97,133,46,41,0.497,0.441,22.15,0.882,img_02556.jpg,2025-07-03
Corn,Rust,4,200,22.96,80.87,9.14,103,106,83,0.86,0.516,61.32,0.904,img_02557.jpg,2025-12-16
Wheat,Powdery_Mildew,2,100,29.51,65.17,41.17,88,144,71,0.551,0.525,18.58,0.796,img_02558.jpg,2026-01-08
Pepper,Anthracnose,3,160,17.32,84.86,2.48,145,72,35,0.138,0.47,50.4,0.834,img_02559.jpg,2025-06-03
Apple,Root_Rot,4,220,26.34,91.83,26.52,157,60,21,0.477,0.746,35.59,0.911,img_02560.jpg,2026-02-15
Rice,Rust,4,200,33.66,62.93,29.57,116,121,27,0.693,0.574,70.99,0.989,img_02561.jpg,2025-03-05
Apple,Anthracnose,3,160,26.07,67.86,9.11,132,89,88,0.756,0.661,26.2,0.787,img_02562.jpg,2025-03-27
Apple,Healthy,0,0,24.15,93.99,14.9,194,202,49,0.867,0.0,0.0,0.927,img_02563.jpg,2025-09-06
Pepper,Anthracnose,3,160,17.89,65.39,65.37,127,98,98,0.166,0.26,16.79,0.704,img_02564.jpg,2025-06-17
Potato,Fusarium_Wilt,5,280,24.2,68.22,11.77,77,145,60,0.853,0.613,14.11,0.778,img_02565.jpg,2025-06-30
Wheat,Bacterial_Spot,3,180,22.62,62.36,21.89,130,55,60,0.237,0.254,63.36,0.927,img_02566.jpg,2026-01-13
Rice,Powdery_Mildew,2,100,21.59,68.58,34.97,109,149,71,0.171,0.406,60.39,0.782,img_02567.jpg,2025-11-03
